;CSV v1.0
;BUILDING TYPE,BuildingType1,...,BuildingTypeN
BUILDING TYPE,Abandoned Drilling Site,Drilling Site,Factory,Farm,Fuel Station,Log Station,Logistics Base,Lumber Mill,Quarry Loading Zone,Sawmill,Service Hub,Town Storage,Warehouse
;CARGO TYPE,CargoType1,...,CargoTypeN
CARGO TYPE,Bricks,Cabin,Cargo Container,Cement,Concrete Blocks,Concrete Slabs,Consumables,Drilling Equipment,Drilling Spare Parts,Fuel,Large Pipe,Long Logs,Medium Logs,Medium Pipes,Metal Beams,Metal Rolls,Oil Barrels,Oil Rig Drill,Secure Container,Service Spare Parts,Small Pipes,Vehicle Spare Parts,Wooden Planks
;JOB TYPE,Region,JobType1,...,JobTypeN
JOB TYPE,ALASKA,BLACK BIRD,GR ENTERPRISE,MORRISON MINING
JOB TYPE,MICHIGAN,DYSON DIESEL,HUSKY FORWARDING,STEEL RIVER TOWNSHIP
JOB TYPE,TAYMYR,TAIGA OIL,TRANSTAYMYR,VORONOE 12
;REGION LIST,Region1,...,RegionN
REGION LIST,MICHIGAN,ALASKA,TAYMYR,KOLA PENINSULA,YUKON,WISCONSIN,AMUR,DON,MAINE,TENNESSEE,GLADES
;REGION,Region,Map1,Map2,Map3,Map4
REGION,ALASKA,North Port,Mountain River,White Valley,Pedro Bay
REGION,AMUR,Urska River,Cosmodrome,Northern Aegis Installation,Chernokamensk
REGION,DON,Factory Grounds,Antonovskiy Nature Reserve
REGION,GLADES,Crossroads,The Institute,Heartlands,HarvestCorp
REGION,KOLA PENINSULA,Lake Kovd,Imandra
REGION,MAINE,The Lowland,Yellowrock National Forest
REGION,MICHIGAN,Black River,Smithville Dam,Island Lake,Drummond Island
REGION,TAYMYR,Quarry,Drowned Lands,Zimnegorsk,Rift
REGION,TENNESSEE,Burning Mill
REGION,WISCONSIN,Black Badger Lake,Grainwoods River
REGION,YUKON,Flooded Foothills,Big Salmon Peak
;BUILDING,Region,BuildingType,X,Y,CargoType1,...,CargoTypeN
BUILDING,MICHIGAN,Town Storage,104,238,Metal Beams
BUILDING,MICHIGAN,Lumber Mill,190,306,Wooden Planks
BUILDING,MICHIGAN,Farm,263,451,Consumables
BUILDING,MICHIGAN,Warehouse,475,335,Bricks,Concrete Blocks,Metal Beams,Service Spare Parts
BUILDING,MICHIGAN,Log Station,366,166,Long Logs,Medium Logs
BUILDING,MICHIGAN,Factory,490,94,Service Spare Parts
BUILDING,MICHIGAN,Service Hub,1028,61,Oil Rig Drill,Service Spare Parts,Vehicle Spare Parts
BUILDING,MICHIGAN,Farm,799,102,Consumables
BUILDING,MICHIGAN,Fuel Station,1046,166,Fuel
BUILDING,MICHIGAN,Log Station,702,64,Medium Logs
BUILDING,MICHIGAN,Warehouse,761,267,Bricks,Concrete Slabs
BUILDING,MICHIGAN,Drilling Site,670,210,Fuel
BUILDING,MICHIGAN,Warehouse,598,428,Concrete Blocks,Metal Beams,Wooden Planks
BUILDING,MICHIGAN,Log Station,666,1038,Wooden Planks
BUILDING,MICHIGAN,Log Station,290,717,Metal Beams,Wooden Planks
BUILDING,MICHIGAN,Abandoned Drilling Site,466,742,Drilling Equipment
BUILDING,MICHIGAN,Log Station,684,1008,Long Logs
BUILDING,MICHIGAN,Quarry Loading Zone,798,364,Cargo Container
BUILDING,MICHIGAN,Logistics Base,587,46,Drilling Spare Parts
BUILDING,MICHIGAN,Abandoned Drilling Site,182,780,Drilling Equipment
BUILDING,MICHIGAN,Abandoned Drilling Site,328,764,Drilling Equipment
BUILDING,MICHIGAN,Sawmill,395,906,Wooden Planks
BUILDING,MICHIGAN,Log Station,413,720,Medium Logs
BUILDING,MICHIGAN,Warehouse,507,910,Drilling Equipment
;JOB,Region,JobType,JobName,isAccepted,isCompleted,X,Y,CargoType1,Quantity1,...,...,CargoTypeN,QuantityN
JOB,MICHIGAN,CONTRACT: DYSON DIESEL,Harbor Delivery,0,0,1045,638,Drilling Equipment,1
JOB,MICHIGAN,CONTRACT: DYSON DIESEL,Instruments Of Development,0,0,506,912,Drilling Equipment,3
JOB,MICHIGAN,CONTRACT: DYSON DIESEL,Not A Drill,0,0,200,229,Metal Beams,2,Oil Rig Drill,1
JOB,MICHIGAN,CONTRACT: DYSON DIESEL,Out With The Old,0,0,670,210,Metal Beams,2,Oil Rig Drill,1
JOB,MICHIGAN,CONTRACT: DYSON DIESEL,Pipe Dream,0,0,490,93,Bricks,2,Metal Beams,1
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Cement For The Region,0,0,666,1038,Cement,2
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Cement For The Region,0,0,395,906,Cement,2
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Cement For The Region,0,0,598,428,Cement,2
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Cement For The Region,0,0,104,238,Cement,2
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Fuel Order,0,0,598,428,Cargo Container,2
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Lumber Mill Revival,0,0,395,906,Concrete Blocks,2,Metal Beams,1
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Materials Order,0,0,1028,61,Concrete Slabs,2
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Materials Order,0,0,798,364,Metal Beams,1
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Materials Order,0,0,1046,166,Consumables,2
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Power Lines,0,0,405,804,Metal Beams,1
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Power Lines,0,0,302,772,Metal Beams,1
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Power Lines,0,0,166,733,Metal Beams,1
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Super Order,0,0,30,225,Fuel,1,Vehicle Spare Parts,1
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Super Order,0,0,1045,638,Concrete Slabs,1,Metal Beams,1
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Super Order,0,0,290,717,Concrete Blocks,1,Consumables,1,Fuel,1
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Super Order,0,0,587,46,Consumables,1,Fuel,1,Service Spare Parts,1,Wooden Planks,1
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,The Essentials,0,0,799,102,Bricks,2,Fuel,2,Wooden Planks,2
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Wet Harvest,0,0,263,451,Bricks,2,Metal Beams,1,Wooden Planks,2
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Winter Stores,0,0,587,46,Vehicle Spare Parts,2
JOB,MICHIGAN,CONTRACT: HUSKY FORWARDING,Work For Old Sweet,0,0,798,364,Concrete Slabs,1,Service Spare Parts,2
JOB,MICHIGAN,CONTRACT: STEEL RIVER TOWNSHIP,Aid at the Island,0,0,630,586,Medium Logs,1
JOB,MICHIGAN,CONTRACT: STEEL RIVER TOWNSHIP,Aid at the Island,0,0,710,842,Medium Logs,1
JOB,MICHIGAN,CONTRACT: STEEL RIVER TOWNSHIP,Aid at the Island,0,0,985,827,Medium Logs,2
JOB,MICHIGAN,CONTRACT: STEEL RIVER TOWNSHIP,Logs to the Workers!,0,0,670,210,Long Logs,1
JOB,MICHIGAN,CONTRACT: STEEL RIVER TOWNSHIP,Logs to the Workers!,0,0,798,364,Long Logs,1
JOB,MICHIGAN,CONTRACT: STEEL RIVER TOWNSHIP,Old Bridge Reconstruction,0,0,110,415,Metal Beams,1,Wooden Planks,2
JOB,MICHIGAN,CONTRACT: STEEL RIVER TOWNSHIP,Steel River Supplies,0,0,104,238,Consumables,2,Wooden Planks,2
JOB,MICHIGAN,CONTRACT: STEEL RIVER TOWNSHIP,Timber at Arm's Reach,0,0,395,906,Long Logs,2,Medium Logs,3
JOB,MICHIGAN,CONTRACT: STEEL RIVER TOWNSHIP,Timber at Arm's Reach,0,0,640,100,Medium Logs,1
JOB,MICHIGAN,CONTRACT: STEEL RIVER TOWNSHIP,Timber at Arm's Reach,0,0,568,96,Long Logs,1
JOB,MICHIGAN,CONTRACT: STEEL RIVER TOWNSHIP,Timber at Arm's Reach,0,0,762,29,Medium Logs,2
JOB,MICHIGAN,CONTRACT: STEEL RIVER TOWNSHIP,Timber for the Locals,0,0,190,306,Long Logs,3
JOB,MICHIGAN,CONTRACT: STEEL RIVER TOWNSHIP,Timber for the Locals,0,0,263,451,Medium Logs,3
JOB,MICHIGAN,CONTRACT: STEEL RIVER TOWNSHIP,Timber for the Locals,0,0,104,238,Medium Logs,3
JOB,MICHIGAN,TASKS,Bridge The Gap,0,0,351,789,Wooden Planks,2
JOB,MICHIGAN,TASKS,Corporate Expansion,0,0,210,805,Wooden Planks,2
JOB,MICHIGAN,TASKS,Fallen Power Line,0,0,190,401,Concrete Blocks,2,Metal Beams,1
JOB,MICHIGAN,TASKS,Hungry Workers,0,0,670,210,Consumables,2
